category_name,product_name,unit_price,quantity,ortalama_birim_fiyatı,ortalama_fiyata_gore_durumu,order_id
Beverages,Chartreuse verte,18,2,18,Ortalamaya Eşit,10784
Beverages,Chartreuse verte,18,2,18,Ortalamaya Eşit,11077
Beverages,Chartreuse verte,18,3,18,Ortalamaya Eşit,10661
Beverages,Chartreuse verte,18,4,14.4,Ortalamadan Fazla,10323
Beverages,Chartreuse verte,18,5,18,Ortalamaya Eşit,10614
Beverages,Chartreuse verte,18,6,14.4,Ortalamadan Fazla,10257
Beverages,Chartreuse verte,18,6,14.4,Ortalamadan Fazla,10445
Beverages,Chartreuse verte,18,8,18,Ortalamaya Eşit,10899
Beverages,Chartreuse verte,18,10,18,Ortalamaya Eşit,10508
Beverages,Chartreuse verte,18,10,18,Ortalamaya Eşit,10577
Beverages,Chartreuse verte,18,10,18,Ortalamaya Eşit,10840
Beverages,Chartreuse verte,18,16,18,Ortalamaya Eşit,10762
Beverages,Chartreuse verte,18,20,14.4,Ortalamadan Fazla,10377
Beverages,Chartreuse verte,18,20,14.4,Ortalamadan Fazla,10455
Beverages,Chartreuse verte,18,20,14.4,Ortalamadan Fazla,10477
Beverages,Chartreuse verte,18,20,18,Ortalamaya Eşit,10647
Beverages,Chartreuse verte,18,20,18,Ortalamaya Eşit,10654
Beverages,Chartreuse verte,18,20,18,Ortalamaya Eşit,11069
Beverages,Chartreuse verte,18,21,18,Ortalamaya Eşit,10643
Beverages,Chartreuse verte,18,21,18,Ortalamaya Eşit,10827
Beverages,Chartreuse verte,18,28,18,Ortalamaya Eşit,10830
Beverages,Chartreuse verte,18,30,14.4,Ortalamadan Fazla,10305
Beverages,Chartreuse verte,18,30,18,Ortalamaya Eşit,10977
Beverages,Chartreuse verte,18,42,14.4,Ortalamadan Fazla,10253
Beverages,Chartreuse verte,18,45,18,Ortalamaya Eşit,10895
Beverages,Chartreuse verte,18,50,14.4,Ortalamadan Fazla,10347
Beverages,Chartreuse verte,18,54,14.4,Ortalamadan Fazla,10361
Beverages,Chartreuse verte,18,60,14.4,Ortalamadan Fazla,10297
Beverages,Chartreuse verte,18,80,18,Ortalamaya Eşit,10865
Beverages,Chartreuse verte,18,130,18,Ortalamaya Eşit,10764
Beverages,Côte de Blaye,263.5,2,263.5,Ortalamaya Eşit,10828
Beverages,Côte de Blaye,263.5,4,263.5,Ortalamaya Eşit,10541
Beverages,Côte de Blaye,263.5,5,263.5,Ortalamaya Eşit,10783
Beverages,Côte de Blaye,263.5,5,263.5,Ortalamaya Eşit,10964
Beverages,Côte de Blaye,263.5,8,263.5,Ortalamaya Eşit,10831
Beverages,Côte de Blaye,263.5,10,210.8,Ortalamadan Fazla,10360
Beverages,Côte de Blaye,263.5,10,263.5,Ortalamaya Eşit,10805
Beverages,Côte de Blaye,263.5,15,263.5,Ortalamaya Eşit,10518
Beverages,Côte de Blaye,263.5,15,263.5,Ortalamaya Eşit,10616
Beverages,Côte de Blaye,263.5,15,263.5,Ortalamaya Eşit,10672
Beverages,Côte de Blaye,263.5,20,210.8,Ortalamadan Fazla,10329
Beverages,Côte de Blaye,263.5,20,210.8,Ortalamadan Fazla,10351
Beverages,Côte de Blaye,263.5,25,263.5,Ortalamaya Eşit,11032
Beverages,Côte de Blaye,263.5,30,210.8,Ortalamadan Fazla,10479
Beverages,Côte de Blaye,263.5,30,263.5,Ortalamaya Eşit,10540
Beverages,Côte de Blaye,263.5,30,263.5,Ortalamaya Eşit,10816
Beverages,Côte de Blaye,263.5,30,263.5,Ortalamaya Eşit,10817
Beverages,Côte de Blaye,263.5,40,210.8,Ortalamadan Fazla,10372
Beverages,Côte de Blaye,263.5,40,263.5,Ortalamaya Eşit,10889
Beverages,Côte de Blaye,263.5,49,210.8,Ortalamadan Fazla,10424
Beverages,Côte de Blaye,263.5,50,210.8,Ortalamadan Fazla,10353
Beverages,Côte de Blaye,263.5,50,210.8,Ortalamadan Fazla,10417
Beverages,Côte de Blaye,263.5,60,263.5,Ortalamaya Eşit,10865
Beverages,Côte de Blaye,263.5,60,263.5,Ortalamaya Eşit,10981
Beverages,Ipoh Coffee,46,3,36.8,Ortalamadan Fazla,10464
Beverages,Ipoh Coffee,46,5,46,Ortalamaya Eşit,10842
Beverages,Ipoh Coffee,46,6,46,Ortalamaya Eşit,10673
Beverages,Ipoh Coffee,46,6,46,Ortalamaya Eşit,10987
Beverages,Ipoh Coffee,46,7,46,Ortalamaya Eşit,10819
Beverages,Ipoh Coffee,46,9,46,Ortalamaya Eşit,10831
Beverages,Ipoh Coffee,46,9,46,Ortalamaya Eşit,10982
Beverages,Ipoh Coffee,46,10,46,Ortalamaya Eşit,10923
Beverages,Ipoh Coffee,46,12,36.8,Ortalamadan Fazla,10302
Beverages,Ipoh Coffee,46,15,36.8,Ortalamadan Fazla,10294
Beverages,Ipoh Coffee,46,15,36.8,Ortalamadan Fazla,10468
Beverages,Ipoh Coffee,46,15,46,Ortalamaya Eşit,10507
Beverages,Ipoh Coffee,46,20,36.8,Ortalamadan Fazla,10309
Beverages,Ipoh Coffee,46,20,36.8,Ortalamadan Fazla,10458
Beverages,Ipoh Coffee,46,20,46,Ortalamaya Eşit,10644
Beverages,Ipoh Coffee,46,20,46,Ortalamaya Eşit,10814
Beverages,Ipoh Coffee,46,24,36.8,Ortalamadan Fazla,10312
Beverages,Ipoh Coffee,46,24,46,Ortalamaya Eşit,10706
Beverages,Ipoh Coffee,46,24,46,Ortalamaya Eşit,10938
Beverages,Ipoh Coffee,46,25,36.8,Ortalamadan Fazla,10270
Beverages,Ipoh Coffee,46,25,46,Ortalamaya Eşit,10530
Beverages,Ipoh Coffee,46,30,46,Ortalamaya Eşit,10760
Beverages,Ipoh Coffee,46,30,46,Ortalamaya Eşit,11023
Beverages,Ipoh Coffee,46,30,46,Ortalamaya Eşit,11052
Beverages,Ipoh Coffee,46,36,46,Ortalamaya Eşit,11068
Beverages,Ipoh Coffee,46,40,36.8,Ortalamadan Fazla,10340
Beverages,Ipoh Coffee,46,40,46,Ortalamaya Eşit,10691
Beverages,Ipoh Coffee,46,60,46,Ortalamaya Eşit,10524
Beverages,Lakkalikööri,18,2,18,Ortalamaya Eşit,11075
Beverages,Lakkalikööri,18,4,18,Ortalamaya Eşit,10593
Beverages,Lakkalikööri,18,5,18,Ortalamaya Eşit,10928
Beverages,Lakkalikööri,18,6,14.4,Ortalamadan Fazla,10318
Beverages,Lakkalikööri,18,6,18,Ortalamaya Eşit,11004
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10566
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10575
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10604
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10665
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10749
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10879
Beverages,Lakkalikööri,18,10,18,Ortalamaya Eşit,10986
Beverages,Lakkalikööri,18,12,14.4,Ortalamadan Fazla,10363
Beverages,Lakkalikööri,18,14,14.4,Ortalamadan Fazla,10413
Beverages,Lakkalikööri,18,14,18,Ortalamaya Eşit,10582
Beverages,Lakkalikööri,18,15,14.4,Ortalamadan Fazla,10267
Beverages,Lakkalikööri,18,15,14.4,Ortalamadan Fazla,10343
Beverages,Lakkalikööri,18,15,18,Ortalamaya Eşit,10702
Beverages,Lakkalikööri,18,18,14.4,Ortalamadan Fazla,10434
Beverages,Lakkalikööri,18,20,14.4,Ortalamadan Fazla,10425
Beverages,Lakkalikööri,18,20,18,Ortalamaya Eşit,10732
Beverages,Lakkalikööri,18,20,18,Ortalamaya Eşit,10734
Beverages,Lakkalikööri,18,20,18,Ortalamaya Eşit,10860
Beverages,Lakkalikööri,18,20,18,Ortalamaya Eşit,10927
Beverages,Lakkalikööri,18,21,18,Ortalamaya Eşit,10837
Beverages,Lakkalikööri,18,30,14.4,Ortalamadan Fazla,10319
Beverages,Lakkalikööri,18,30,18,Ortalamaya Eşit,10569
Beverages,Lakkalikööri,18,33,14.4,Ortalamadan Fazla,10273
Beverages,Lakkalikööri,18,35,14.4,Ortalamadan Fazla,10399
Beverages,Lakkalikööri,18,35,18,Ortalamaya Eşit,10630
Beverages,Lakkalikööri,18,35,18,Ortalamaya Eşit,10701
Beverages,Lakkalikööri,18,42,14.4,Ortalamadan Fazla,10475
Beverages,Lakkalikööri,18,44,18,Ortalamaya Eşit,10962
Beverages,Lakkalikööri,18,50,18,Ortalamaya Eşit,10530
Beverages,Lakkalikööri,18,50,18,Ortalamaya Eşit,10808
Beverages,Lakkalikööri,18,50,18,Ortalamaya Eşit,11050
Beverages,Lakkalikööri,18,60,18,Ortalamaya Eşit,10961
Beverages,Lakkalikööri,18,80,18,Ortalamaya Eşit,10612
Beverages,Lakkalikööri,18,90,18,Ortalamaya Eşit,10991
